Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9
-7.629517,-7.473679,351.4841,13.86418,5.332947,184.0707,-3.501038,8.034973,29.21864
-22.94653,-30.90926,333.7656,3.9422,-0.186264,126.6774,-5.676514,-8.852264,1.496536
-27.88658,-22.19978,-20.46011,53.1445,-4.046051,55.26881,5.045822,-21.98993,54.51511
-11.33562,-26.3125,302.1965,-43.35342,2.045776,163.8833,15.87082,-33.56097,9.970795
-23.28433,-32.3786,318.2234,-45.22858,7.490479,137.9352,23.06999,-11.3381,-1.994934
-12.33501,-27.51686,315.7607,-44.75053,1.607742,220.2724,12.02045,-16.72125,6.381744
-18.53587,8.96228,-55.99501,-37.09659,7.424484,-135.8951,14.7683,-30.66525,16.16788
-28.43742,-3.157166,127.1926,-38.89264,2.072891,14.63437,28.24832,0.7973938,17.7034
-12.75323,6.260681,280.879,-33.90889,6.703964,176.7386,29.32983,-14.33717,21.22591
-0.9935608,-10.99652,0.8253632,6.092087,16.62454,-22.01105,20.48743,-1.142944,25.35658
2.551468,-6.473618,3.934128,7.818192,-119.5975,-30.69334,-8.988205,11.31783,16.96072
-5.354538,-13.49954,10.61945,3.597504,11.46544,-48.68047,28.11478,-9.302689,20.99257
5.881042,-3.381477,-339.9368,-4.816986,40.41119,-21.4201,23.81053,-19.31297,7.050018
1.108932,-10.89214,-329.5301,-12.72348,31.07426,-83.02495,47.56979,-25.46912,-5.351944
14.40031,-13.08446,-338.2539,-26.51939,49.15202,161.1803,40.13266,-34.64064,2.28006
1.99173,-7.538712,21.11378,-3.292969,1.990005,-94.45581,35.54897,6.007278,20.45302
2.303085,-16.00676,5.857132,-10.40517,-4.588638,-93.26819,12.18228,7.643448,8.749313
7.686066,-15.40865,-20.0761,-8.18576,2.896576,-98.80113,14.76184,109.5924,11.3029
16.57016,8.903519,249.5796,-12.29999,40.77946,52.89636,15.55887,23.99481,15.12236
-2.928864,9.160263,211.324,-13.2493,37.79971,55.14503,19.74672,22.71274,18.87491
0.4974823,16.28226,211.1766,-34.02097,31.04628,51.84357,12.52914,10.88713,17.21248
9.364532,-16.39481,-15.64177,-15.07028,9.17688,58.6619,3.871201,-11.68445,9.846039
-3.866852,-15.33417,-36.15764,-12.51219,14.51392,40.11172,11.05431,-8.643555,9.149734
-2.655746,-12.95219,314.9875,-15.56689,25.67241,-132.872,9.853271,-11.55803,8.600128